,id
0,1
1,2
2,3
3,5
4,6
5,8
6,9
7,12
8,13
9,14
10,15
11,16
12,17
13,18
14,20
15,21
16,22
17,23
18,24
19,25
20,26
21,27
22,28
23,30
24,31
25,32
26,35
27,36
28,37
29,38
30,39
31,40
32,41
33,42
34,43
35,44
36,45
37,46
38,47
39,48
40,49
41,50
42,51
43,52
44,53
45,54
46,55
47,56
48,57
49,60
50,62
51,63
52,64
53,65
54,66
55,67
56,68
57,69
58,70
59,71
60,72
61,73
62,74
63,75
64,76
65,77
66,78
67,80
68,81
69,82
70,83
71,84
72,85
73,86
74,87
75,89
76,90
77,92
78,93
79,95
80,97
81,99
82,101
83,102
84,103
85,106
86,107
87,108
88,109
89,110
90,111
91,112
92,114
93,116
94,117
95,118
96,119
97,120
98,121
99,122
100,123
101,124
102,125
103,126
104,127
105,128
106,130
107,131
108,132
109,133
110,135
111,136
112,137
113,138
114,139
115,140
116,141
117,142
118,143
119,144
120,146
121,148
122,149
123,150
124,152
125,155
126,156
127,157
128,158
129,159
130,160
131,161
132,162
133,163
134,164
135,168
136,169
137,170
138,172
139,173
140,175
141,176
142,177
143,178
144,179
145,180
146,181
147,182
148,183
149,185
150,186
151,187
152,189
153,190
154,191
155,192
156,193
157,195
158,196
159,197
160,198
161,199
162,200
163,201
164,202
165,203
166,204
167,206
168,207
169,208
170,209
171,210
172,212
173,213
174,214
175,215
176,217
177,218
178,219
179,220
180,221
181,222
182,223
183,224
184,226
185,227
186,229
187,230
188,231
189,233
190,234
191,235
192,236
193,237
194,238
195,239
196,240
197,241
198,242
199,243
200,244
201,245
202,247
203,248
204,249
205,250
206,251
207,252
208,253
209,254
210,255
211,256
212,257
213,258
214,259
215,260
216,261
217,262
218,263
219,264
220,265
221,266
222,267
223,268
224,269
225,271
226,272
227,273
228,274
229,275
230,276
231,277
232,278
233,279
234,280
235,281
236,284
237,285
238,286
239,287
240,288
241,289
242,290
243,291
244,293
245,294
246,296
247,297
248,298
249,299
250,300
251,302
252,303
253,304
254,305
255,306
256,307
257,309
258,310
259,311
260,313
261,314
262,315
263,316
264,317
265,319
266,320
267,321
268,322
269,323
270,324
271,325
272,326
273,327
274,328
275,329
276,330
277,331
278,333
279,334
280,335
281,336
282,337
283,339
284,340
285,342
286,343
287,344
288,345
289,346
290,347
291,348
292,349
293,351
294,352
295,353
296,354
297,355
298,356
299,357
300,359
301,360
302,361
303,362
304,364
305,365
306,366
307,367
308,368
309,369
310,370
311,372
312,373
313,374
314,375
315,377
316,378
317,379
318,380
319,381
320,382
321,383
322,385
323,386
324,387
325,389
326,390
327,391
328,392
329,393
330,394
331,395
332,396
333,397
334,399
335,400
336,401
337,402
338,403
339,404
340,405
341,406
342,407
343,408
344,410
345,411
346,412
347,413
348,414
349,415
350,416
351,417
352,418
353,419
354,420
355,421
356,422
357,423
358,424
359,425
360,426
361,427
362,428
363,429
364,430
365,431
366,432
367,434
368,435
369,436
370,437
371,438
372,439
373,440
374,441
375,443
376,445
377,447
378,448
379,449
380,450
381,451
382,452
383,453
384,454
385,455
386,456
387,457
388,458
389,459
390,460
391,461
392,463
393,464
394,465
395,467
396,468
397,470
398,471
399,472
400,473
401,474
402,475
403,476
404,477
405,478
406,479
407,480
408,481
409,483
410,484
411,485
412,487
413,488
414,489
415,490
416,491
417,492
418,493
419,494
420,495
421,496
422,497
423,499
424,500
