,id
0,2
1,3
2,4
3,5
4,10
5,11
6,13
7,14
8,15
9,16
10,17
11,20
12,21
13,22
14,23
15,24
16,25
17,27
18,28
19,29
20,30
21,33
22,34
23,35
24,36
25,37
26,38
27,39
28,40
29,42
30,43
31,44
32,45
33,46
34,47
35,48
36,49
37,51
38,52
39,53
40,54
41,55
42,56
43,57
44,58
45,59
46,60
47,61
48,62
49,63
50,64
51,65
52,66
53,67
54,68
55,69
56,70
57,71
58,72
59,73
60,74
61,75
62,77
63,78
64,79
65,80
66,82
67,83
68,84
69,85
70,86
71,87
72,88
73,90
74,91
75,92
76,94
77,95
78,97
79,98
80,99
81,101
82,102
83,103
84,104
85,105
86,106
87,107
88,108
89,110
90,111
91,112
92,114
93,115
94,116
95,117
96,118
97,119
98,120
99,121
100,122
101,123
102,124
103,125
104,126
105,127
106,128
107,129
108,130
109,131
110,132
111,133
112,134
113,135
114,136
115,138
116,139
117,140
118,141
119,142
120,143
121,144
122,145
123,146
124,147
125,149
126,150
127,151
128,152
129,153
130,154
131,155
132,156
133,157
134,158
135,159
136,160
137,161
138,162
139,163
140,164
141,165
142,167
143,169
144,170
145,171
146,172
147,174
148,175
149,176
150,177
151,179
152,180
153,181
154,182
155,183
156,184
157,185
158,186
159,187
160,188
161,189
162,191
163,194
164,197
165,198
166,199
167,200
168,201
169,202
170,203
171,204
172,205
173,206
174,207
175,208
176,209
177,210
178,211
179,213
180,214
181,215
182,216
183,218
184,220
185,221
186,222
187,223
188,224
189,225
190,226
191,227
192,229
193,230
194,231
195,232
196,233
197,234
198,235
199,236
200,237
201,238
202,239
203,241
204,242
205,243
206,245
207,246
208,247
209,248
210,249
211,250
212,251
213,252
214,253
215,254
216,255
217,256
218,257
219,258
220,259
221,260
222,261
223,262
224,263
225,264
226,266
227,267
228,270
229,271
230,272
231,273
232,274
233,275
234,276
235,277
236,278
237,279
238,280
239,281
240,284
241,285
242,286
243,287
244,288
245,289
246,290
247,292
248,293
249,294
250,296
251,297
252,298
253,300
254,301
255,302
256,303
257,304
258,305
259,307
260,308
261,309
262,310
263,311
264,312
265,313
266,314
267,315
268,316
269,317
270,318
271,319
272,320
273,322
274,323
275,324
276,325
277,326
278,328
279,329
280,330
281,331
282,332
283,333
284,334
285,335
286,337
287,338
288,339
289,340
290,341
291,343
292,344
293,345
294,346
295,347
296,348
297,349
298,350
299,351
300,352
301,353
302,354
303,356
304,357
305,358
306,359
307,360
308,362
309,363
310,364
311,365
312,366
313,367
314,368
315,370
316,371
317,372
318,373
319,374
320,376
321,377
322,378
323,380
324,381
325,382
326,383
327,384
328,385
329,386
330,388
331,389
332,390
333,391
334,392
335,393
336,395
337,396
338,397
339,398
340,399
341,400
342,401
343,403
344,404
345,405
346,406
347,407
348,409
349,410
350,411
351,412
352,413
353,415
354,416
355,418
356,419
357,420
358,421
359,422
360,423
361,424
362,425
363,426
364,427
365,428
366,429
367,430
368,431
369,432
370,433
371,434
372,436
373,437
374,438
375,439
376,440
377,441
378,443
379,444
380,445
381,447
382,448
383,449
384,450
385,451
386,452
387,453
388,454
389,455
390,456
391,458
392,459
393,460
394,462
395,463
396,464
397,465
398,466
399,467
400,469
401,470
402,472
403,473
404,474
405,475
406,476
407,477
408,478
409,479
410,480
411,482
412,483
413,484
414,485
415,486
416,487
417,488
418,489
419,490
420,491
421,492
422,494
423,495
424,496
425,497
426,499
427,500
