,id
0,1
1,2
2,3
3,5
4,6
5,7
6,8
7,9
8,11
9,12
10,13
11,15
12,16
13,19
14,20
15,21
16,22
17,23
18,26
19,29
20,30
21,31
22,32
23,33
24,34
25,35
26,38
27,39
28,40
29,41
30,42
31,43
32,44
33,45
34,47
35,48
36,49
37,50
38,51
39,52
40,53
41,54
42,55
43,57
44,58
45,59
46,60
47,61
48,62
49,63
50,64
51,66
52,67
53,68
54,69
55,71
56,72
57,74
58,75
59,77
60,79
61,80
62,81
63,82
64,83
65,84
66,85
67,86
68,87
69,88
70,89
71,90
72,92
73,93
74,94
75,97
76,98
77,99
78,100
79,102
80,105
81,106
82,108
83,109
84,110
85,112
86,113
87,115
88,117
89,118
90,119
91,120
92,121
93,123
94,124
95,126
96,127
97,128
98,129
99,130
100,132
101,133
102,134
103,135
104,138
105,140
106,141
107,142
108,143
109,144
110,146
111,147
112,148
113,149
114,150
115,151
116,152
117,153
118,154
119,155
120,156
121,158
122,160
123,161
124,162
125,163
126,164
127,165
128,166
129,168
130,169
131,170
132,171
133,172
134,174
135,176
136,177
137,179
138,180
139,182
140,183
141,184
142,186
143,187
144,188
145,191
146,193
147,194
148,195
149,197
150,198
151,199
152,201
153,203
154,204
155,206
156,207
157,208
158,209
159,210
160,211
161,213
162,214
163,216
164,217
165,221
166,223
167,224
168,226
169,227
170,228
171,229
172,232
173,233
174,236
175,238
176,240
177,241
178,242
179,243
180,245
181,246
182,247
183,249
184,250
185,251
186,252
187,255
188,256
189,257
190,259
191,260
192,262
193,263
194,264
195,265
196,267
197,268
198,269
199,270
200,271
201,272
202,274
203,276
204,277
205,278
206,279
207,280
208,281
209,283
210,284
211,285
212,287
213,289
214,290
215,291
216,293
217,294
218,296
219,298
220,299
221,300
222,301
223,302
224,304
225,305
226,306
227,307
228,308
229,309
230,310
231,311
232,312
233,313
234,314
235,315
236,316
237,317
238,318
239,321
240,323
241,324
242,325
243,326
244,327
245,328
246,329
247,330
248,331
249,332
250,333
251,335
252,339
253,342
254,343
255,344
256,345
257,346
258,348
259,349
260,350
261,351
262,352
263,356
264,357
265,358
266,359
267,360
268,361
269,362
270,364
271,370
272,372
273,373
274,374
275,375
276,376
277,377
278,379
279,380
280,383
281,384
282,385
283,386
284,388
285,389
286,391
287,396
288,397
289,398
290,400
291,401
292,402
293,404
294,405
295,407
296,408
297,410
298,411
299,412
300,414
301,415
302,418
303,420
304,422
305,425
306,426
307,427
308,428
309,429
310,430
311,431
312,432
313,435
314,436
315,437
316,439
317,440
318,441
319,442
320,444
321,445
322,446
323,449
324,450
325,451
326,452
327,453
328,454
329,455
330,456
331,457
332,459
333,460
334,463
335,464
336,465
337,468
338,469
339,474
340,476
341,477
342,478
343,482
344,483
345,484
346,486
347,487
348,488
349,489
350,490
351,491
352,492
353,493
354,494
355,496
356,497
357,498
358,499
359,500
